date,anomaly_label,pinn_scores,gat_scores,knowledge_scores,fused_scores,threshold_scores,hst_scores,iforest_scores,lstm_ae_scores
2014-01-01,0,2.000885973394608,0.0,0.0,0.15754048855137792,1.9887051359161445,2.4774696812215504,0.584770274877439,0.0
2014-01-02,0,1.740479436158822,0.0,0.0,0.14011275819072497,2.0184020757475927,1.9497248509850733,0.5931115481940097,0.0
2014-01-03,0,1.473460973060666,0.0,0.0,0.12322686659490457,2.10896808488267,2.0869905668487916,0.5935225669816374,0.0
2014-01-04,0,1.9838197171004888,0.0,0.0,0.1563796956532628,2.1460481167296703,3.009806160824741,0.582558034709368,0.0
2014-01-05,0,1.58191426176575,0.0,0.0,0.12993280697724438,2.127464452889866,2.5560823133628716,0.588287534034823,0.0
2014-01-06,0,1.2733753473337603,0.0,0.0,0.11150529485079363,2.21482987381862,2.133419344108853,0.5821591085655188,0.0
2014-01-07,0,1.1352367636781946,0.0,0.0,0.10396132219913579,2.134473491050722,1.6118317470314734,0.5903568465054073,0.0
2014-01-08,0,0.9761488973552749,0.0,0.0,0.09587156894873014,2.2280616500950083,2.0522065621867016,0.5801558265207359,0.0
2014-01-09,0,0.6888991481125507,0.0,0.0,0.08294496565877922,2.0515992461007384,2.3237617391622796,0.5764934558784961,0.0
2014-01-10,0,1.749300531846972,0.0,0.0,0.14069046022655404,2.1521728490835974,2.2159264060888733,0.5748549684196467,0.0
2014-01-11,0,0.981095591131777,0.0,0.0,0.09611320955098862,2.3028789811069026,2.4663642864320168,0.5972037826487893,0.0
2014-01-12,0,1.2271508222494718,0.0,0.0,0.10892872100757801,2.378212386129586,2.631108499465602,0.5832414676728352,0.0
2014-01-13,0,2.007300377960197,0.0,0.0,0.15797723601558714,2.129095681061901,2.1473866333138387,0.5673990687942005,0.0
2014-01-14,0,1.3228277153894856,3.100553711368482,0.0,0.27125472891052455,2.3298342620523123,2.238602082512197,0.5676841843232235,3.2277116377398474
2014-01-15,0,1.7733450566877205,4.434196235829386,0.0,0.35403124818499987,2.2889065352244033,2.1515057983855503,0.5720226993267781,2.9896223370038943
2014-01-16,0,1.9949789425554518,3.09635023477256,0.0,0.32537173504362565,2.1363393783008795,1.9780091916264644,0.5578307367319795,2.8357227545756643
2014-01-17,0,1.5136426845989774,2.8075286661086283,0.0,0.27022204722334214,2.1349501046590005,2.085039115505722,0.5635364257640904,3.5018772953253103
2014-01-18,0,1.739650444484506,2.6677763601258166,0.0,0.28001133101280284,2.2780281245647664,1.9097041877534058,0.5609072983841255,3.119414298121187
2014-01-19,0,1.5725755249313207,2.7178851415674874,0.0,0.2696557805671308,2.059906764325344,2.434110161573638,0.5675390324651521,2.629172608107723
2014-01-20,0,2.0841393949804887,2.7746491937995414,0.0,0.3147886543771391,2.11113466262913,1.9922867439244194,0.5525650451825727,2.794681702049541
2014-01-21,0,1.5525220145572411,3.1438847054280084,0.0,0.29123823090749146,2.147096252263744,1.7639315206287922,0.5421718930640346,2.4766637570426435
2014-01-22,0,2.1491975140126844,3.4966517649641067,0.0,0.3572292894027118,2.1297449014312555,2.1617518326045664,0.5574819227789931,3.0194414752259697
2014-01-23,0,1.8338644662636303,2.149742894898026,0.0,0.2544178664194019,2.066687839540641,2.3144041885048376,0.5543694638117972,2.939939281141565
2014-01-24,0,2.5474398378813587,3.924101760181187,0.0,0.405605663626467,2.171862359510036,2.162770171576207,0.5542013766010055,2.6383996788187085
2014-01-25,0,2.0646696155451894,2.80553875928268,0.0,0.3150083076458711,2.0235206056828727,2.2647626261560077,0.5430490860124084,2.6056473818484376
2014-01-26,0,1.889007413719716,3.2637157394223535,0.0,0.3248070170091308,2.153567348846938,1.8897280415162954,0.5605886617029887,2.955717023425574
2014-01-27,0,1.7428862831698517,2.367109706242657,0.0,0.2614354520622103,2.1683253033120384,1.989678843870672,0.5432121530041939,2.960620567647204
2014-01-28,0,2.2251661400308866,3.152947705771002,0.0,0.34755492402181504,2.1251303203563525,2.578809023361285,0.5466767384777328,2.7520383831328448
2014-01-29,0,1.8270606801736498,2.7640425175756684,0.0,0.2928893659780965,2.2561455968618267,2.301975537448071,0.5480017386096157,2.6334127064596164
2014-01-30,0,2.1681096393867945,3.54585805884863,0.0,0.3608609633810253,2.3580459742903987,2.400045508002296,0.5424641950936742,2.9243948701713833
2014-01-31,0,2.111432815283269,3.429907821301386,2.313308209333727,0.44220292442771364,2.1729647674638994,1.660349794378262,0.5489222091703847,3.281225902608326
2014-02-01,0,1.9484533982976036,3.7054202640455185,2.116458769341515,0.4300530132749087,2.1435229392428408,2.4962927477960917,0.5509114007363288,3.2271264333672094
2014-02-02,0,1.9446776591429027,3.966029971771372,2.1174968099638747,0.43856918356607516,2.160350602344574,1.7559198582758255,0.5450930928195198,3.5627333100644814
2014-02-03,0,1.9959406471827463,3.7210259354623303,2.156913971629163,0.4366433546635001,2.181477005570894,2.0016492426487833,0.5437030535737557,4.281320089648986
2014-02-04,0,1.4191519226167568,4.094194400544906,2.279942428924308,0.4059315380788699,2.151277381499289,3.1158458475266575,0.5532780176244864,4.012430031030751
2014-02-05,0,1.9803035050879099,4.025127773325758,2.2428434992200286,0.4494101313809733,1.9880473223721602,2.002020243193674,0.5168448110178617,4.057894621406053
2014-02-06,0,2.422953487067537,4.836219170046856,2.3200778551350623,0.5067971761840273,2.120928148854373,2.6973893646835645,0.5476581030280742,3.580122037232289
2014-02-07,0,2.690278703525954,4.529524717025768,2.317301825409749,0.5217452615720579,2.10454632701248,2.3762415484300377,0.5367103915469822,4.02980633416594
2014-02-08,0,2.0643234796708247,4.622231475024773,2.2984788191071117,0.4729994353648922,1.996781535071945,2.04937884673725,0.5268479533503375,4.078089712623779
