date,water_level,air_temperature,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,anomaly_label,anomaly_type
2014-01-01,164.5063128457899,4.0035318946353105,6.811131020975486,4.527673172960725,2.881594026966658,6.973349669541454,4.477382717269421,2.870040318255072,6.867375473313654,4.52682410868334,6.746488722427063,6.761662999750911,74.5297100626567,74.54788312592285,73.73775655149454,49.8031376023523,49.42473512593376,49.47381083420438,90.08254515427721,90.34401985503331,90.5556315558724,33.055009080818934,12.586164264861278,12.86281375932831,12.767772674117507,15.653233066667134,15.582156065939108,15.47832038056767,15.873667226702784,15.95105391642911,15.885976131984894,12.955374780894452,0,
2014-01-02,164.47868218266706,4.03576782850706,6.851122779165072,4.56510058973084,2.898582700241314,6.887986254082371,4.571419384494955,2.908372665276896,6.861540069365438,4.494673790128604,6.953928556856434,6.81163657555677,73.61335774017194,74.00347596293801,73.88810939580837,49.22287452928803,49.8294078875942,49.52811525513033,90.59140098270763,90.24397484436064,90.37090672364893,32.7239409977655,12.784970997615455,12.548375930355846,12.814142260834089,15.577939425306253,15.682818075245828,15.655980465243795,16.061750091237784,15.991620546380858,15.989579116848905,12.844345157170535,0,
2014-01-03,164.2617087414791,-7.942516087312539,6.937065792036731,4.5765824909079065,2.948902181576833,7.018079014834323,4.54454147898972,2.916636157378679,6.898133533260938,4.606232778355605,6.970843017061286,6.920169520966733,73.33200704533324,73.9001824189393,73.81292627101935,49.013414589167844,49.2966012593589,49.69396039655121,90.27301691459736,90.41216615976651,90.33270004864156,32.60521434572468,13.263439049414659,12.859655061158637,12.919038332122692,15.609892494852975,15.461008870326124,15.89308115815318,16.517159721270183,16.2114663887184,16.157753508953707,12.902450356216955,0,
2014-01-04,164.19801171576026,3.047769777414379,7.081021570273853,4.6001777740739636,2.957761591815876,7.089637566440535,4.570823499321957,2.932391368144572,6.968996086883171,4.638997054183937,7.045651186624704,6.91648266566,74.08804508008316,73.94771884971072,73.87383485633633,49.53527416263723,49.35024502398109,49.70156337979643,90.37303386773833,90.41336315667016,89.8678948293032,32.528615262456135,13.031587471329969,13.296102585835474,12.90394113171433,15.647842568689132,15.8205809046534,16.29756382347338,16.701916687287756,16.67854137709699,16.558096895444102,12.727267529046022,0,
2014-01-05,164.1690788563574,4.973552939078395,7.171730240559608,4.708748304237585,2.955545368308942,7.052148823707773,4.595078948601022,2.9393927814137184,7.137704881089649,4.6345781284073055,7.152821751642615,6.998158561248683,73.31295489736347,74.46136315691304,74.14056927435801,49.17637284675144,49.63190898221105,48.8066459131137,90.24251524510629,90.4448651735189,90.97999649630556,32.82883473835935,12.915492377825641,13.749739575664313,13.163123417780955,15.753438918456686,15.506637388293168,15.544647530829298,16.5555723393796,16.587108835643203,16.692189952387736,12.855469720426939,0,
2014-01-06,164.0882283858842,-0.8104889489072589,7.1213422992999655,4.674269880499938,3.0146144028092463,7.1334933557479125,4.667599932651213,2.994650734182653,7.131742761400687,4.706969048351364,7.154788472181511,7.132632311059531,73.71550419800616,74.23816023199903,73.64264822460446,49.58520616726093,49.140688270501144,48.624355586115456,90.06614926655705,89.98568808725965,90.36864616791874,32.65439235952468,13.543380141195275,13.441722389229952,13.59395595532837,15.86830409051947,15.612920939068431,15.95179173652087,16.848307355897056,16.9083524427407,16.875562849931725,13.047327794210425,0,
2014-01-07,163.69663544424853,-4.906949244285931,7.209386883812224,4.692226700485432,3.0079309226672546,7.164606599283692,4.736820266236386,2.9955595962923702,7.1139608562944945,4.715708276634098,7.100350043634569,7.157588523775357,73.4516004267772,73.73839219141495,73.61410672769411,49.13322282715765,49.041635129619316,49.25162919178891,89.89427938146206,89.53215694136436,90.1208394778156,32.63338313956726,13.751957221362138,13.612150992693453,13.482048134710443,15.73544096504866,15.791065470738612,15.723219786814784,16.84798955187645,17.074054134977853,16.974379892582984,12.622685916136295,0,
2014-01-08,163.65483734864787,-4.685677807102648,7.21496470016782,4.720570375081784,3.027792310620939,7.132195380200611,4.75022028686556,3.0625380707574688,7.25157149034895,4.689403994896895,7.245468669775986,7.126757577682595,73.71473271596157,73.8449394777967,74.05811782850401,49.43679731483653,48.662785285723146,49.23275470424486,89.83594734187973,89.65209651683567,89.64402504118557,32.414863533892,14.153472719772157,13.46341968579447,13.858060623376645,15.914349580454225,16.050833044124417,15.748016036335814,17.080320575713902,16.8975939634346,17.000508922087906,12.886740364926542,0,
2014-01-09,163.92322264554204,-5.592218773049849,7.222027349435133,4.725214950077161,3.0792511239603444,7.196318472473634,4.742444294263193,3.063623438089187,7.315404040290637,4.775967235347989,7.198736278397094,7.332418771486728,73.52016265739312,73.82490511585398,73.96646174510774,49.33604436712425,49.00789437912167,49.59121664758235,90.14817330781777,89.84638094215194,89.92562701305057,33.03302358220216,13.763794676258472,13.92469104180336,13.500765060582614,15.731826869424225,15.616723888925081,15.565132637019376,17.088998682515278,17.168456839667538,17.361759196738966,12.676665745893715,0,
2014-01-10,163.79891505057262,-1.7002017572322146,7.397188676681853,4.8414821422051615,3.079395247913595,7.325793916487651,4.885234479835266,3.0930891320986085,7.304286088102305,4.798647474162243,7.3202032122005525,7.302253443693956,73.84727675449359,74.02211910404608,73.73114306266015,48.86310818990831,49.03421270515005,49.2508991043684,90.62728997427755,89.46504847967257,90.23076942839435,32.63803624674859,13.73769793485292,13.949145316940808,13.846661897091847,16.170659681266066,15.622848182910646,15.639086661798107,17.704199268688864,17.5682335425904,17.613448401487247,12.660536863447984,0,
